onset	duration	stimulus	Var4
4	2	210	tool
8	2	130	animal
12	2	216	tool
16	2	203	tool
20	2	107	animal
28	2	114	animal
32	2	229	tool
36	2	206	tool
40	2	128	animal
48	2	103	animal
52	2	118	animal
56	2	211	tool
80	2	128	animal
84	2	130	animal
88	2	118	animal
92	2	114	animal
96	2	211	tool
100	2	216	tool
104	2	203	tool
108	2	229	tool
112	2	206	tool
116	2	103	animal
128	2	107	animal
136	2	210	tool
148	2	216	tool
156	2	203	tool
160	2	206	tool
164	2	128	animal
172	2	114	animal
176	2	211	tool
184	2	103	animal
188	2	107	animal
192	2	130	animal
196	2	118	animal
204	2	210	tool
208	2	229	tool
224	2	130	animal
228	2	203	tool
232	2	206	tool
236	2	229	tool
244	2	211	tool
248	2	103	animal
252	2	216	tool
256	2	128	animal
268	2	118	animal
272	2	107	animal
276	2	114	animal
280	2	210	tool
