onset	duration	stimulus	Var4
0	2	213	tool
8	2	128	animal
16	2	225	tool
24	2	102	animal
32	2	124	animal
40	2	214	tool
48	2	212	tool
56	2	104	animal
64	2	107	animal
72	2	120	animal
80	2	229	tool
88	2	216	tool
96	2	107	animal
104	2	216	tool
112	2	214	tool
120	2	104	animal
128	2	225	tool
136	2	124	animal
144	2	120	animal
152	2	212	tool
160	2	128	animal
168	2	229	tool
176	2	102	animal
184	2	213	tool
192	2	104	animal
200	2	107	animal
208	2	128	animal
216	2	212	tool
224	2	229	tool
232	2	214	tool
240	2	216	tool
248	2	124	animal
256	2	120	animal
264	2	102	animal
272	2	213	tool
280	2	225	tool
