onset	duration	stimulus	Var4
0	2	129	animal
6	2	103	animal
12	2	111	animal
18	2	101	animal
24	2	218	tool
30	2	202	tool
36	2	203	tool
42	2	226	tool
48	2	225	tool
54	2	110	animal
60	2	211	tool
66	2	120	animal
72	2	110	animal
78	2	111	animal
84	2	129	animal
90	2	202	tool
96	2	203	tool
102	2	120	animal
108	2	218	tool
114	2	211	tool
120	2	103	animal
126	2	226	tool
132	2	101	animal
138	2	225	tool
144	2	202	tool
150	2	101	animal
156	2	111	animal
162	2	218	tool
168	2	120	animal
174	2	110	animal
180	2	129	animal
186	2	226	tool
192	2	211	tool
198	2	203	tool
204	2	225	tool
210	2	103	animal
216	2	129	animal
222	2	202	tool
228	2	218	tool
234	2	211	tool
240	2	203	tool
246	2	225	tool
252	2	111	animal
258	2	226	tool
264	2	101	animal
270	2	103	animal
276	2	120	animal
282	2	110	animal
