onset	duration	stimulus	Var4
0	2	230	tool
6	2	212	tool
12	2	105	animal
18	2	114	animal
24	2	102	animal
30	2	123	animal
36	2	211	tool
42	2	202	tool
48	2	226	tool
54	2	129	animal
60	2	130	animal
66	2	222	tool
72	2	105	animal
78	2	202	tool
84	2	102	animal
90	2	222	tool
96	2	123	animal
102	2	226	tool
108	2	130	animal
114	2	129	animal
120	2	212	tool
126	2	211	tool
132	2	230	tool
138	2	114	animal
144	2	211	tool
150	2	130	animal
156	2	105	animal
162	2	202	tool
168	2	212	tool
174	2	222	tool
180	2	226	tool
186	2	102	animal
192	2	123	animal
198	2	230	tool
204	2	114	animal
210	2	129	animal
216	2	222	tool
222	2	105	animal
228	2	114	animal
234	2	226	tool
240	2	130	animal
246	2	123	animal
252	2	102	animal
258	2	212	tool
264	2	211	tool
270	2	202	tool
276	2	129	animal
282	2	230	tool
