onset	duration	stimulus	Var4
0	2	222	tool
6	2	129	animal
12	2	105	animal
18	2	202	tool
24	2	130	animal
30	2	102	animal
36	2	226	tool
42	2	212	tool
48	2	123	animal
54	2	114	animal
60	2	211	tool
66	2	230	tool
72	2	202	tool
78	2	212	tool
84	2	123	animal
90	2	130	animal
96	2	102	animal
102	2	230	tool
108	2	211	tool
114	2	114	animal
120	2	129	animal
126	2	226	tool
132	2	105	animal
138	2	222	tool
144	2	226	tool
150	2	222	tool
156	2	129	animal
162	2	123	animal
168	2	130	animal
174	2	102	animal
180	2	202	tool
186	2	230	tool
192	2	212	tool
198	2	105	animal
204	2	114	animal
210	2	211	tool
216	2	130	animal
222	2	114	animal
228	2	123	animal
234	2	226	tool
240	2	212	tool
246	2	129	animal
252	2	222	tool
258	2	230	tool
264	2	105	animal
270	2	102	animal
276	2	202	tool
282	2	211	tool
