onset	duration	stimulus	Var4
0	2	225	tool
6	2	211	tool
12	2	218	tool
18	2	226	tool
24	2	101	animal
30	2	202	tool
36	2	116	animal
42	2	122	animal
48	2	124	animal
54	2	216	tool
60	2	103	animal
66	2	123	animal
72	2	116	animal
78	2	101	animal
84	2	103	animal
90	2	124	animal
96	2	202	tool
102	2	211	tool
108	2	226	tool
114	2	218	tool
120	2	225	tool
126	2	216	tool
132	2	123	animal
138	2	122	animal
144	2	116	animal
150	2	211	tool
156	2	122	animal
162	2	218	tool
168	2	216	tool
174	2	225	tool
180	2	226	tool
186	2	202	tool
192	2	124	animal
198	2	103	animal
204	2	123	animal
210	2	101	animal
216	2	123	animal
222	2	226	tool
228	2	124	animal
234	2	225	tool
240	2	122	animal
246	2	103	animal
252	2	211	tool
258	2	218	tool
264	2	101	animal
270	2	202	tool
276	2	216	tool
282	2	116	animal
