onset	duration	stimulus	Var4
0	2	104	animal
8	2	107	animal
16	2	217	tool
24	2	128	animal
32	2	210	tool
40	2	214	tool
48	2	227	tool
56	2	115	animal
64	2	129	animal
72	2	213	tool
80	2	229	tool
88	2	102	animal
96	2	107	animal
104	2	217	tool
112	2	102	animal
120	2	104	animal
128	2	115	animal
136	2	227	tool
144	2	229	tool
152	2	129	animal
160	2	128	animal
168	2	214	tool
176	2	213	tool
184	2	210	tool
192	2	102	animal
200	2	210	tool
208	2	217	tool
216	2	213	tool
224	2	115	animal
232	2	107	animal
240	2	227	tool
248	2	214	tool
256	2	104	animal
264	2	229	tool
272	2	128	animal
280	2	129	animal
